Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
PFE,50,0.01,0,0,0.01,0.01,0,10,1,0,PFE-CFD-SMART-USD
PG,50,0.01,0,0,0.01,0.01,0,10,1,0,PG-CFD-SMART-USD
PM,50,0.01,0,0,0.01,0.01,0,10,1,0,PM-CFD-SMART-USD
PNC,50,0.01,0,0,0.01,0.01,0,10,1,0,PNC-CFD-SMART-USD
POT,50,0.01,0,0,0.01,0.01,0,10,1,0,POT-CFD-SMART-USD
PRU,50,0.01,0,0,0.01,0.01,0,10,1,0,PRU-CFD-SMART-USD
PSE,50,0.01,0,0,0.01,0.01,0,10,1,0,PSE-CFD-SMART-USD
PXD,50,0.01,0,0,0.01,0.01,0,10,1,0,PXD-CFD-SMART-USD
QCOM,50,0.01,0,0,0.01,0.01,0,10,1,0,QCOM-CFD-SMART-USD
RIG,50,0.01,0,0,0.01,0.01,0,10,1,0,RIG-CFD-SMART-USD
RIO,50,0.01,0,0,0.01,0.01,0,10,1,0,RIO-CFD-SMART-USD
RL,50,0.01,0,0,0.01,0.01,0,10,1,0,RL-CFD-SMART-USD
SBUX,50,0.01,0,0,0.01,0.01,0,10,1,0,SBUX-CFD-SMART-USD
SINA,50,0.01,0,0,0.01,0.01,0,10,1,0,SINA-CFD-SMART-USD
SLB,50,0.01,0,0,0.01,0.01,0,10,1,0,SLB-CFD-SMART-USD
SLW,50,0.01,0,0,0.01,0.01,0,10,1,0,SLW-CFD-SMART-USD
SNDK,50,0.01,0,0,0.01,0.01,0,10,1,0,SNDK-CFD-SMART-USD
SO,50,0.01,0,0,0.01,0.01,0,10,1,0,SO-CFD-SMART-USD
SPG,50,0.01,0,0,0.01,0.01,0,10,1,0,SPG-CFD-SMART-USD
STI,50,0.01,0,0,0.01,0.01,0,10,1,0,STI-CFD-SMART-USD
STJ,50,0.01,0,0,0.01,0.01,0,10,1,0,STJ-CFD-SMART-USD
STX,50,0.01,0,0,0.01,0.01,0,10,1,0,STX-CFD-SMART-USD
SU,50,0.01,0,0,0.01,0.01,0,10,1,0,SU-CFD-SMART-USD
SWN,50,0.01,0,0,0.01,0.01,0,10,1,0,SWN-CFD-SMART-USD
T,50,0.01,0,0,0.01,0.01,0,10,1,0,T-CFD-SMART-USD
TEVA,50,0.01,0,0,0.01,0.01,0,10,1,0,TEVA-CFD-SMART-USD
TGT,50,0.01,0,0,0.01,0.01,0,10,1,0,TGT-CFD-SMART-USD
TJX,50,0.01,0,0,0.01,0.01,0,10,1,0,TJX-CFD-SMART-USD
TMO,50,0.01,0,0,0.01,0.01,0,10,1,0,TMO-CFD-SMART-USD
TOT,50,0.01,0,0,0.01,0.01,0,10,1,0,TOT-CFD-SMART-USD
TRV,50,0.01,0,0,0.01,0.01,0,10,1,0,TRV-CFD-SMART-USD
TWX,50,0.01,0,0,0.01,0.01,0,10,1,0,TWX-CFD-SMART-USD
TXN,50,0.01,0,0,0.01,0.01,0,10,1,0,TXN-CFD-SMART-USD
UNH,50,0.01,0,0,0.01,0.01,0,10,1,0,UNH-CFD-SMART-USD
UNP,50,0.01,0,0,0.01,0.01,0,10,1,0,UNP-CFD-SMART-USD
UPS,50,0.01,0,0,0.01,0.01,0,10,1,0,UPS-CFD-SMART-USD
USB,50,0.01,0,0,0.01,0.01,0,10,1,0,USB-CFD-SMART-USD
UTX,50,0.01,0,0,0.01,0.01,0,10,1,0,UTX-CFD-SMART-USD
V,50,0.01,0,0,0.01,0.01,0,10,1,0,V-CFD-SMART-USD
VALE,50,0.01,0,0,0.01,0.01,0,10,1,0,VALE-CFD-SMART-USD
VLO,50,0.01,0,0,0.01,0.01,0,10,1,0,VLO-CFD-SMART-USD
VMW,50,0.01,0,0,0.01,0.01,0,10,1,0,VMW-CFD-SMART-USD
VOD,50,0.01,0,0,0.01,0.01,0,10,1,0,VOD-CFD-SMART-USD
VZ,50,0.01,0,0,0.01,0.01,0,10,1,0,VZ-CFD-SMART-USD
WBA,50,0.01,0,0,0.01,0.01,0,10,1,0,WBA-CFD-SMART-USD
WFC,50,0.01,0,0,0.01,0.01,0,10,1,0,WFC-CFD-SMART-USD
WFT,50,0.01,0,0,0.01,0.01,0,10,1,0,WFT-CFD-SMART-USD
WMB,50,0.01,0,0,0.01,0.01,0,10,1,0,WMB-CFD-SMART-USD
WMT,50,0.01,0,0,0.01,0.01,0,10,1,0,WMT-CFD-SMART-USD
WYNN,50,0.01,0,0,0.01,0.01,0,10,1,0,WYNN-CFD-SMART-USD
X,50,0.01,0,0,0.01,0.01,0,10,1,0,X-CFD-SMART-USD
XOM,50,0.01,0,0,0.01,0.01,0,10,1,0,XOM-CFD-SMART-USD
YHOO,50,0.01,0,0,0.01,0.01,0,10,1,0,YHOO-CFD-SMART-USD
YUM,50,0.01,0,0,0.01,0.01,0,10,1,0,YUM-CFD-SMART-USD
ZNGA,50,0.01,0,0,0.01,0.01,0,10,1,0,ZNGA-CFD-SMART-USD
